iter	Logloss
0	0.685096129
1	0.6771831973
2	0.6700252197
3	0.6622457912
4	0.6553053724
5	0.6478872891
6	0.642084702
7	0.6350632618
8	0.6276882744
9	0.620808117
10	0.6138044688
11	0.6071119419
12	0.6007129145
13	0.5943794762
14	0.5879432444
15	0.5822010764
16	0.5769935643
17	0.5720403576
18	0.5662282005
19	0.5607928407
20	0.5556674757
21	0.552870122
22	0.5477774447
23	0.5425201124
24	0.5387265722
25	0.5342208194
26	0.5295079445
27	0.5251042951
28	0.5207497918
29	0.516315506
30	0.5120803458
31	0.5086469793
32	0.5045330703
33	0.5005804172
34	0.4969796769
35	0.4930618327
36	0.4895169492
37	0.4862406974
38	0.4826096599
39	0.4791242571
40	0.4764137656
41	0.4731114744
42	0.4698203199
43	0.4666167525
44	0.4642659049
45	0.4614230533
46	0.4588453869
47	0.4562973836
48	0.454103193
49	0.4516879895
50	0.4495095131
51	0.4482651734
52	0.445614039
53	0.4430673686
54	0.4415845548
55	0.4396903561
56	0.4372690294
57	0.4350684911
58	0.4327352679
59	0.4311971554
60	0.429050444
61	0.4272390543
62	0.4251717886
63	0.4241139551
64	0.4223434033
65	0.4205187621
66	0.4190716413
67	0.4171590087
68	0.4154118472
69	0.413722531
70	0.4119227582
71	0.4104208888
72	0.4096783442
73	0.408027733
74	0.4065372469
75	0.4050295246
76	0.4038533309
77	0.4024868485
78	0.4011455294
79	0.399826365
80	0.3986369424
81	0.397207074
82	0.3961746366
83	0.3949308241
84	0.3942587362
85	0.3931330389
86	0.3926195014
87	0.3919972267
88	0.3907494196
89	0.3897070613
90	0.3886309345
91	0.3877540289
92	0.3868025592
93	0.3860197872
94	0.3850214541
95	0.3838793964
96	0.3834761148
97	0.3826026498
98	0.3816549358
99	0.3807956746
100	0.3800082133
101	0.3791267235
102	0.3784560988
103	0.3774838974
104	0.376605036
105	0.3756669817
106	0.3750366117
107	0.374661707
108	0.3739235989
109	0.3731649453
110	0.3724460738
111	0.3719363499
112	0.371290556
113	0.3704984297
114	0.3697019308
115	0.3691677961
116	0.3685305112
117	0.3678283319
118	0.3671280545
119	0.3666269119
120	0.3661413606
121	0.3655646694
122	0.3648680401
123	0.3642250334
124	0.363667798
125	0.3630400458
126	0.362498483
127	0.3619981982
128	0.3616369264
129	0.3610340406
130	0.3607431659
131	0.3601524271
132	0.3598420337
133	0.3592673715
134	0.3587956178
135	0.3584396804
136	0.3579773695
137	0.3576395893
138	0.3572193458
139	0.3567157163
140	0.3562464104
141	0.3560021811
142	0.3557961268
143	0.3553706085
144	0.3549220044
145	0.3546116046
146	0.354146064
147	0.3540527036
148	0.3537056573
149	0.3533193539
150	0.3529950641
151	0.3525364323
152	0.3521458666
153	0.3518050712
154	0.351430711
155	0.3510797292
156	0.3506558187
157	0.3505539852
158	0.3501978029
159	0.3498175489
160	0.3495381864
161	0.3492516618
162	0.3489458662
163	0.3486582072
164	0.3483056861
165	0.3481824098
166	0.3479694527
167	0.3478357465
168	0.3474798419
169	0.3471516498
170	0.3468876935
171	0.3467785888
172	0.3465257773
173	0.3462628428
174	0.3459722725
175	0.3458000358
176	0.3454554028
177	0.3452043494
178	0.3449811776
179	0.3446686697
180	0.3445976823
181	0.3443047575
182	0.3440895771
183	0.3438416359
184	0.3435707538
185	0.3432990333
186	0.3431724938
187	0.3430742628
188	0.3428825244
189	0.3426695809
190	0.3424184049
191	0.3422232096
192	0.342033856
193	0.3418207162
194	0.3417033773
195	0.3414762591
196	0.3412794505
197	0.3410773367
198	0.3408709902
199	0.3406533793
200	0.340454617
201	0.3404224257
202	0.3403213128
203	0.3402505782
204	0.3400755756
205	0.3399014984
206	0.3397323448
207	0.3395153082
208	0.3394862015
209	0.3393508131
210	0.3392551444
211	0.3391324786
212	0.3390285478
213	0.3389130312
214	0.3387646783
215	0.3385723803
216	0.3383967906
217	0.3383381846
218	0.3382657722
219	0.3381830869
220	0.3380559328
221	0.3380267617
222	0.3378595217
223	0.337754935
224	0.3375608505
225	0.337386005
226	0.3372801066
227	0.3372531465
228	0.3372364447
229	0.3370775536
230	0.3369497247
231	0.3369337306
232	0.3368882882
233	0.3368069016
234	0.3366396229
235	0.3364789943
236	0.3363464907
237	0.3361820977
238	0.3361699414
239	0.3360731011
240	0.3359606004
241	0.3358542442
242	0.3357670685
243	0.335687562
244	0.3355426096
245	0.3353829422
246	0.3352621454
247	0.3350828861
248	0.335017617
249	0.334929676
250	0.33481903
251	0.3347170911
252	0.3345771933
253	0.3344838283
254	0.3343741335
255	0.3342542653
256	0.3342466868
257	0.3341405843
258	0.3341084107
259	0.3339846475
260	0.3338909104
261	0.3338807521
262	0.333809384
263	0.3337495428
264	0.3336957196
265	0.3335762547
266	0.3334891335
267	0.3333448617
268	0.3333233159
269	0.3332107516
270	0.3331194963
271	0.3330312888
272	0.3329299794
273	0.3328335378
274	0.3327499935
275	0.3326127204
276	0.3324910239
277	0.3324011415
278	0.3323264532
279	0.33223495
280	0.3321214174
281	0.3321145266
282	0.3319878451
283	0.3318650376
284	0.3317909033
285	0.3317462796
286	0.3317101561
287	0.3316816063
288	0.3315486502
289	0.3314736796
290	0.3314544058
291	0.3314037337
292	0.3313016032
293	0.3312343827
294	0.3312103924
295	0.3311496011
296	0.3310434048
297	0.3309678132
298	0.3309320829
299	0.3308666296
300	0.3308576048
301	0.3307629601
302	0.3306994311
303	0.3306334038
304	0.3305788275
305	0.3305386652
306	0.3304948811
307	0.3303856038
308	0.3303314214
309	0.3303225428
310	0.3302857023
311	0.3302560637
312	0.3302525682
313	0.3302373967
314	0.3302265604
315	0.3301531629
316	0.3300677999
317	0.3299640764
318	0.3299483636
319	0.3298482777
320	0.3298055187
321	0.3297051549
322	0.3296496287
323	0.3295895101
324	0.3294937917
325	0.3294541534
326	0.3294518996
327	0.3294459153
328	0.3294238188
329	0.3293391597
330	0.3293030508
331	0.3292393903
332	0.3291400252
333	0.3290228593
334	0.3289762035
335	0.3288673148
336	0.3288292274
337	0.3287620068
338	0.3287248785
339	0.3286729288
340	0.3285868531
341	0.3285098259
342	0.3284967875
343	0.3284840192
344	0.3284005539
345	0.3284001708
346	0.3283155268
347	0.3282815205
348	0.3282314971
349	0.3282263181
350	0.3281950251
351	0.3281268888
352	0.3280655671
353	0.3279976119
354	0.3279398826
355	0.3278869575
356	0.3278475595
357	0.3278428664
358	0.3278377097
359	0.327821791
360	0.3277911392
361	0.3277564951
362	0.3277400215
363	0.3276963181
364	0.3276310857
365	0.3275907244
366	0.3275550076
